LINE1;LINE2
-6.1941;-6.1940
-5.7854;-5.7854
-4.4466;-4.4466
-4.1297;-4.1297
-4.0306;-4.0306
-4.7658;-4.7658
-3.8579;-3.8579
-4.2829;-4.2829
-4.3794;-4.3794
-3.2364;-3.2364
-3.2677;-3.2677
-3.4076;-3.4076
-3.6560;-3.6560
-3.5787;-3.5787
-3.4687;-3.4687
-3.5908;-3.5908
-4.3542;-4.3542
-3.6272;-3.6272
-3.4750;-3.4750
-3.1994;-3.1994
-3.3392;-3.3392
-3.8339;-3.8339
-3.8175;-3.8175
-3.5565;-3.5565
-3.8648;-3.8648
-4.0930;-4.0930
-4.3965;-4.3965
-4.4464;-4.4464
-5.7483;-5.7483
-6.4516;-6.4516
-6.7914;-6.7914
-6.5085;-6.5085
-7.8666;-7.8666
-7.6357;-7.6357
-8.3360;-8.3360
-8.8937;-8.8936
-10.4016;-10.4016
-8.1362;-8.1362
-7.9230;-7.9230
-7.2043;-7.2043
-6.8111;-6.8111
-6.1800;-6.1800
-5.3578;-5.3578
-7.5191;-7.5191
-7.6926;-7.6926
-8.1636;-8.1636
-9.6289;-9.6288
-9.2460;-9.2460
-9.1359;-9.1358
-9.3476;-9.3476
-10.3639;-10.3639
-11.5793;-11.5793
-12.3966;-12.3965
-11.3601;-11.3601
-10.6378;-10.6378
-7.4812;-7.4812
-6.1534;-6.1534
-7.4187;-7.4187
-10.0020;-10.0019
-7.7761;-7.7760
-7.0532;-7.0532
-7.5632;-7.5632
-8.7590;-8.7589
-9.8051;-9.8051
-9.3138;-9.3138
-7.7095;-7.7095
-10.2709;-10.2709
-10.1488;-10.1487
-12.6093;-12.6092
-12.0345;-12.0345
-10.9209;-10.9208
-12.9323;-12.9322
-15.1989;-15.1988
-15.8086;-15.8085
-17.6774;-17.6773
-14.9231;-14.9230
-14.5700;-14.5699
-14.5560;-14.5559
-14.6139;-14.6138
-14.1161;-14.1160
-13.7710;-13.7709
-12.9163;-12.9162
-13.2315;-13.2314
-12.4499;-12.4498
-11.8237;-11.8236
-9.9354;-9.9353
-9.5807;-9.5807
-10.4899;-10.4898
-9.4509;-9.4508
-9.8989;-9.8988
-10.0104;-10.0103
-9.7013;-9.7012
-8.4169;-8.4169
-8.8207;-8.8207
-8.9713;-8.9713
-8.0581;-8.0580
