Input_kW;Input_kvar;Output_kW;Output_kvar
18.9175;6.2134;-18.9147;-6.1942
17.6995;5.8048;-17.6967;-5.7856
13.5555;4.4567;-13.5541;-4.4467
12.5879;4.1385;-12.5867;-4.1298
12.2852;4.0391;-12.2840;-4.0307
14.5370;4.7782;-14.5353;-4.7660
11.7559;3.8661;-11.7548;-3.8580
13.0642;4.2933;-13.0628;-4.2830
13.3619;4.3903;-13.3604;-4.3795
9.8617;3.2423;-9.8609;-3.2365
9.9558;3.2736;-9.9550;-3.2677
10.3913;3.4147;-10.3904;-3.4077
11.1417;3.6631;-11.1407;-3.6561
10.9105;3.5857;-10.9095;-3.5788
10.5722;3.4753;-10.5713;-3.4688
10.9468;3.5980;-10.9458;-3.5908
13.2835;4.3645;-13.2820;-4.3543
11.0556;3.6344;-11.0547;-3.6273
10.5887;3.4815;-10.5878;-3.4751
9.7477;3.2050;-9.7470;-3.1994
7.7730;3.3437;-7.7724;-3.3393
9.2840;3.8394;-9.2833;-3.8339
9.2298;3.8230;-9.2291;-3.8175
8.4349;3.5616;-8.4342;-3.5565
7.9388;3.8704;-7.9381;-3.8649
8.6345;4.0991;-8.6337;-4.0930
9.5637;4.4040;-9.5626;-4.3966
9.7158;4.4539;-9.7148;-4.4465
11.7723;5.7609;-11.7706;-5.7484
13.9191;6.4655;-13.9171;-6.4517
14.9461;6.8051;-14.9442;-6.7915
14.0826;6.5216;-14.0808;-6.5086
18.2419;7.8886;-18.2388;-7.8668
17.5534;7.6586;-17.5501;-7.6359
16.7977;8.3611;-16.7941;-8.3363
18.5078;8.9182;-18.5042;-8.8939
23.1351;10.4376;-23.1298;-10.4020
16.1912;8.1643;-16.1872;-8.1365
15.5343;7.9436;-15.5313;-7.9232
13.3324;7.2201;-13.3302;-7.2044
12.1205;6.8256;-12.1184;-6.8112
10.1887;6.1930;-10.1869;-6.1801
6.1840;5.3727;-6.1819;-5.3580
12.8583;7.5451;-12.8546;-7.5193
14.1639;7.7224;-14.1595;-7.6929
13.6504;8.2001;-13.6450;-8.1639
17.4407;9.6803;-17.4331;-9.6293
17.0747;9.2870;-17.0687;-9.2464
16.1125;9.1744;-16.1069;-9.1362
16.0060;9.3856;-16.0005;-9.3479
18.8951;10.4068;-18.8888;-10.3643
23.5235;11.6517;-23.5129;-11.5800
24.5605;12.4607;-24.5511;-12.3972
23.2798;11.4119;-23.2722;-11.3606
21.1470;10.6811;-21.1407;-10.6382
11.6295;7.5055;-11.6260;-7.4814
10.2169;6.1693;-10.2147;-6.1536
14.5538;7.4424;-14.5504;-7.4190
21.9354;10.0356;-21.9305;-10.0023
15.0779;7.7984;-15.0746;-7.7763
12.8784;7.0729;-12.8756;-7.0533
14.4405;7.5794;-14.4382;-7.5633
18.1387;8.7870;-18.1346;-8.7592
21.3188;9.8368;-21.3142;-9.8054
22.7093;9.3465;-22.7045;-9.3141
17.8035;7.7360;-17.7997;-7.7097
25.6541;10.3178;-25.6472;-10.2713
25.2354;10.1883;-25.2296;-10.1491
32.7691;12.6690;-32.7603;-12.6098
31.0672;12.0945;-31.0584;-12.0351
29.5303;10.9681;-29.5234;-10.9213
35.7310;13.0079;-35.7199;-12.9329
42.7029;15.3028;-42.6875;-15.1998
44.5265;15.9168;-44.5105;-15.8095
51.7478;17.8192;-51.7268;-17.6787
43.3076;15.0282;-43.2921;-14.9240
42.2080;14.6658;-42.1939;-14.5709
42.2015;14.6577;-42.1865;-14.5569
44.8702;14.7305;-44.8529;-14.6150
43.3144;14.2234;-43.2986;-14.1171
42.2281;13.8683;-42.2137;-13.7719
39.6550;13.0054;-39.6418;-12.9171
40.5073;13.3242;-40.4936;-13.2323
38.0929;12.5308;-38.0810;-12.4506
36.1522;11.8963;-36.1415;-11.8243
30.3660;9.9868;-30.3585;-9.9358
29.2948;9.6280;-29.2879;-9.5811
32.1402;10.5495;-32.1315;-10.4904
28.9050;9.4969;-28.8983;-9.4513
30.2623;9.9469;-30.2553;-9.8993
30.6033;10.0599;-30.5960;-10.0108
29.6429;9.7470;-29.6362;-9.7017
25.6997;8.4512;-25.6947;-8.4172
26.9592;8.8591;-26.9536;-8.8210
27.4233;9.0109;-27.4175;-8.9717
24.6194;8.0901;-24.6148;-8.0583
